event_id,source,source_row,equipment,component,event_type,severity,symptom,recommended_action,status,running_hours,ship_speed,lever_position,gt_shaft_torque_knm,gt_rpm,gas_generator_rpm,hp_turbine_exit_temp_c,compressor_outlet_temp_c,hp_turbine_exit_pressure_bar,compressor_outlet_pressure_bar,gt_exhaust_pressure_bar,fuel_flow_kg_s,compressor_decay,turbine_decay,text
sensor-0-compressor,data.csv,0,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,1,3.0,1.138,289.964,1349.489,6677.38,464.006,550.563,1.096,5.947,1.019,0.082,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 1. Ship speed: 3.0 knots. GT RPM: 1349.489. Fuel flow: 0.082 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-0-turbine,data.csv,0,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,1,3.0,1.138,289.964,1349.489,6677.38,464.006,550.563,1.096,5.947,1.019,0.082,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 1. Ship speed: 3.0 knots. GT RPM: 1349.489. Fuel flow: 0.082 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-1-compressor,data.csv,1,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,2,6.0,2.088,6960.18,1376.166,6828.469,635.401,581.658,1.331,7.282,1.019,0.287,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 2. Ship speed: 6.0 knots. GT RPM: 1376.166. Fuel flow: 0.287 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-1-turbine,data.csv,1,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,2,6.0,2.088,6960.18,1376.166,6828.469,635.401,581.658,1.331,7.282,1.019,0.287,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 2. Ship speed: 6.0 knots. GT RPM: 1376.166. Fuel flow: 0.287 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-2-compressor,data.csv,2,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,3,9.0,3.144,8379.229,1386.757,7111.811,606.002,587.587,1.389,7.574,1.02,0.259,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 3. Ship speed: 9.0 knots. GT RPM: 1386.757. Fuel flow: 0.259 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-2-turbine,data.csv,2,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,3,9.0,3.144,8379.229,1386.757,7111.811,606.002,587.587,1.389,7.574,1.02,0.259,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 3. Ship speed: 9.0 knots. GT RPM: 1386.757. Fuel flow: 0.259 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-3-compressor,data.csv,3,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,4,12.0,4.161,14724.395,1547.465,7792.63,661.471,613.851,1.658,9.007,1.022,0.358,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 4. Ship speed: 12.0 knots. GT RPM: 1547.465. Fuel flow: 0.358 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-3-turbine,data.csv,3,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,4,12.0,4.161,14724.395,1547.465,7792.63,661.471,613.851,1.658,9.007,1.022,0.358,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 4. Ship speed: 12.0 knots. GT RPM: 1547.465. Fuel flow: 0.358 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-4-compressor,data.csv,4,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,5,15.0,5.14,21636.432,1924.313,8494.777,731.494,645.642,2.078,11.197,1.026,0.522,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 5. Ship speed: 15.0 knots. GT RPM: 1924.313. Fuel flow: 0.522 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-4-turbine,data.csv,4,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,5,15.0,5.14,21636.432,1924.313,8494.777,731.494,645.642,2.078,11.197,1.026,0.522,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 5. Ship speed: 15.0 knots. GT RPM: 1924.313. Fuel flow: 0.522 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-5-compressor,data.csv,5,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,6,18.0,6.175,29792.731,2307.404,8828.36,800.434,676.397,2.501,13.356,1.03,0.708,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 6. Ship speed: 18.0 knots. GT RPM: 2307.404. Fuel flow: 0.708 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-5-turbine,data.csv,5,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,6,18.0,6.175,29792.731,2307.404,8828.36,800.434,676.397,2.501,13.356,1.03,0.708,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 6. Ship speed: 18.0 knots. GT RPM: 2307.404. Fuel flow: 0.708 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-6-compressor,data.csv,6,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,7,21.0,7.148,38982.18,2678.086,9132.429,854.747,699.954,2.963,15.679,1.035,0.908,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 7. Ship speed: 21.0 knots. GT RPM: 2678.086. Fuel flow: 0.908 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-6-turbine,data.csv,6,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,7,21.0,7.148,38982.18,2678.086,9132.429,854.747,699.954,2.963,15.679,1.035,0.908,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 7. Ship speed: 21.0 knots. GT RPM: 2678.086. Fuel flow: 0.908 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-7-compressor,data.csv,7,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,8,24.0,8.206,50996.808,3087.561,9318.562,952.122,741.77,3.576,18.632,1.04,1.236,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 8. Ship speed: 24.0 knots. GT RPM: 3087.561. Fuel flow: 1.236 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-7-turbine,data.csv,7,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,8,24.0,8.206,50996.808,3087.561,9318.562,952.122,741.77,3.576,18.632,1.04,1.236,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 8. Ship speed: 24.0 knots. GT RPM: 3087.561. Fuel flow: 1.236 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-8-compressor,data.csv,8,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,9,27.0,9.3,72763.329,3560.395,9778.528,1115.797,789.094,4.498,22.811,1.049,1.832,0.95,0.975,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 9. Ship speed: 27.0 knots. GT RPM: 3560.395. Fuel flow: 1.832 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-8-turbine,data.csv,8,Naval Propulsion Plant,GT Turbine,Turbine decay detected,watch,GT turbine decay coefficient is 0.975.,"Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.",monitor,9,27.0,9.3,72763.329,3560.395,9778.528,1115.797,789.094,4.498,22.811,1.049,1.832,0.95,0.975,"Naval Propulsion Plant GT Turbine Turbine decay detected. Severity: watch. Symptom: GT turbine decay coefficient is 0.975.. Recommended action: Monitor turbine condition and compare exhaust temperature, shaft torque, and fuel flow trends.. Running hours: 9. Ship speed: 27.0 knots. GT RPM: 3560.395. Fuel flow: 1.832 kg/s. Compressor decay: 0.95. Turbine decay: 0.975."
sensor-9-compressor,data.csv,9,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,10,3.0,1.138,379.88,1355.375,6683.916,464.017,550.985,1.1,5.963,1.019,0.079,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 10. Ship speed: 3.0 knots. GT RPM: 1355.375. Fuel flow: 0.079 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
sensor-10-compressor,data.csv,10,Naval Propulsion Plant,GT Compressor,Compressor decay detected,warning,GT compressor decay coefficient is 0.950.,"Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.",needs_inspection,11,6.0,2.088,6969.176,1371.94,6828.438,635.96,581.44,1.33,7.272,1.019,0.289,0.95,0.976,"Naval Propulsion Plant GT Compressor Compressor decay detected. Severity: warning. Symptom: GT compressor decay coefficient is 0.950.. Recommended action: Inspect GT compressor efficiency, outlet pressure, outlet temperature, and fouling condition.. Running hours: 11. Ship speed: 6.0 knots. GT RPM: 1371.94. Fuel flow: 0.289 kg/s. Compressor decay: 0.95. Turbine decay: 0.976."
